Module	Section	Sample Name	Source
Kraken	all_sections	kraken2.12.ERR6913283	/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/analyses/kraken2/kraken2/kraken2.12.ERR6913283.report
Kraken	all_sections	kraken2.6.ERR6913323	/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/analyses/kraken2/kraken2/kraken2.6.ERR6913323.report
Kraken	all_sections	kraken2.9.ERR6913185	/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/analyses/kraken2/kraken2/kraken2.9.ERR6913185.report
Kraken	all_sections	kraken2.8.ERR6913242	/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/analyses/kraken2/kraken2/kraken2.8.ERR6913242.report
Kraken	all_sections	kraken2.11.ERR6913187	/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/analyses/kraken2/kraken2/kraken2.11.ERR6913187.report
FastQC	all_sections	ERR6913323_2	/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/analyses/fastqc/ERR6913323_2_fastqc.zip
FastQC	all_sections	ERR6913283_2	/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/analyses/fastqc/ERR6913283_2_fastqc.zip
FastQC	all_sections	ERR6913146_1	/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/analyses/fastqc/ERR6913146_1_fastqc.zip
FastQC	all_sections	ERR6913309_2	/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/analyses/fastqc/ERR6913309_2_fastqc.zip
FastQC	all_sections	ERR6913185_1	/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/analyses/fastqc/ERR6913185_1_fastqc.zip
FastQC	all_sections	ERR6913281_1	/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/analyses/fastqc/ERR6913281_1_fastqc.zip
FastQC	all_sections	ERR6913242_1	/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/analyses/fastqc/ERR6913242_1_fastqc.zip
FastQC	all_sections	ERR6913294_1	/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/analyses/fastqc/ERR6913294_1_fastqc.zip
FastQC	all_sections	ERR6913242_2	/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/analyses/fastqc/ERR6913242_2_fastqc.zip
FastQC	all_sections	ERR6913146_2	/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/analyses/fastqc/ERR6913146_2_fastqc.zip
FastQC	all_sections	ERR6913294_2	/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/analyses/fastqc/ERR6913294_2_fastqc.zip
FastQC	all_sections	ERR6913283_1	/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/analyses/fastqc/ERR6913283_1_fastqc.zip
FastQC	all_sections	ERR6913119_2	/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/analyses/fastqc/ERR6913119_2_fastqc.zip
FastQC	all_sections	ERR6913323_1	/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/analyses/fastqc/ERR6913323_1_fastqc.zip
FastQC	all_sections	ERR6913119_1	/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/analyses/fastqc/ERR6913119_1_fastqc.zip
FastQC	all_sections	ERR6913187_2	/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/analyses/fastqc/ERR6913187_2_fastqc.zip
FastQC	all_sections	ERR6913185_2	/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/analyses/fastqc/ERR6913185_2_fastqc.zip
FastQC	all_sections	ERR6913187_1	/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/analyses/fastqc/ERR6913187_1_fastqc.zip
FastQC	all_sections	ERR6913215_2	/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/analyses/fastqc/ERR6913215_2_fastqc.zip
FastQC	all_sections	ERR6913309_1	/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/analyses/fastqc/ERR6913309_1_fastqc.zip
FastQC	all_sections	ERR6913215_1	/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/analyses/fastqc/ERR6913215_1_fastqc.zip
FastQC	all_sections	ERR6913281_2	/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/analyses/fastqc/ERR6913281_2_fastqc.zip
FastQC	all_sections	ERR6913338_1	/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/analyses/fastqc/ERR6913338_1_fastqc.zip
FastQC	all_sections	ERR6913338_2	/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/analyses/fastqc/ERR6913338_2_fastqc.zip
FLASh	all_sections	x_aliok_flash	/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/analyses/x_aliok_flash.log
